Name,Color,Parent,Start,Stop,Description,Namechange1,When1,Description1,Namechange2,When2,Description2,Namechange3,When3,Description3
S.u.S.E,#438643,Slackware,1994.3,,http://en.wikipedia.org/wiki/SUSE_Linux_distributions,SuSE,1998.12,http://www.novell.com/linux/,SUSE,2003.10.24,http://www.novell.com/linux/,openSUSE,2006.12.7,http://www.opensuse.org/
SLES,#7ac142,S.u.S.E,2000.10.31,,http://www.novell.com/products/server/,,,,,,,,,
NLD,#7ac142,S.u.S.E,2004.11.8,,http://www.novell.com/linux/products.html,SLED,2006.6,http://www.novell.com/products/desktop/,,,,,,
Astaro,#ebb64c,S.u.S.E,2000.1,,http://www.astaro.com/,,,,,,,,,
Caixa Mágica,#50b9e6,S.u.S.E,2000.10,,http://www.caixamagica.pt/,,,,,,,,,
Sun JDS,#000,S.u.S.E,2003.11.10,2006.5.30,http://en.wikipedia.org/wiki/Java_Desktop_System,,,,,,,,,
Linkat,#fcbe32,S.u.S.E,2006.9.12,,http://linkat.xtec.cat/,,,,,,,,,
JOPUX,#000,S.u.S.E,2012.3.30,,http://jopux.org/,,,,,,,,,
Anthon,,S.u.S.E,2012.5.4,,http://sourceforge.net/projects/anthon/,,,,,,,,,
Jurix,#9f9f9f,,1995.2.8,1997,http://www.ibiblio.org/pub/historic-linux/distributions/jurix/,,,,,,,,,
Alpine,#5f8dd3,,2006.5.4,,http://www.alpinelinux.org/,,,,,,,,,
openmamba,#4db90a,,2007.6,,http://www.openmamba.org/,,,,,,,,,
QiLinux,#ffd133,,2004.3.19,2007.2.6,http://distrowatch.com/table.php?distribution=qilinux,,,,,,,,,
ROCK,#77781b,,1998.8,,http://www.rocklinux.net/,,,,,,,,,
T2,#09345f,ROCK,2004.10.3,,http://www.t2-project.org/,,,,,,,,,
Linux From Scratch,#000,,1999.12,,http://www.linuxfromscratch.org/,,,,,,,,,
ZENIX,#009999,Linux From Scratch,2003.2.10,2004.10.24,http://distrowatch.com/table.php?distribution=zenix,,,,,,,,,
NuTyX,#ae0001,Linux From Scratch,2007.11.28,,http://www.nutyx.org/,,,,,,,,,
KaarPux,#cb4b16,Linux From Scratch,2012.8.6,,http://kaarpux.kaarposoft.dk/,,,,,,,,,
0Linux,#10a409,,2010.3.3,,http://0.tuxfamily.org/,,,,,,,,,
tomsrtbt,#000,,1998.11.6,2002.5.4,http://www.toms.net/rb/,,,,,,,,,
dyne:bolic,#f1ca6d,,2001.6,,http://dynebolic.org/,,,,,,,,,
Ark,#545454,,2001.8,,http://web.archive.org/web/20110725013724/http://arklinux.org/,,,,,,,,,
NetStation,#116daa,,2001.8.28,2003.9,http://netstation.sourceforge.net/,,,,,,,,,
Thinstation,#000,NetStation,2003.8.30,,http://www.thinstation.org/,,,,,,,,,
LPS,#2757ab,Thinstation,2007.3.21,,http://www.spi.dod.mil/lipose.htm,,,,,,,,,
Octoz,#ce6816,,2004.7,2007.3,http://web.archive.org/web/*/http://www.octoz.org,Hedinux,2005.9.26,http://web.archive.org/web/*/http://hedinux.org/,,,,,,
Igelle,#e77918,,2010.2.22,,http://www.igelle.com/,,,,,,,,,
Weaver,#ff9600,,1997.9,2007.3,http://en.wikipedia.org/wiki/Nitix,Nitix,2004.1,http://distrowatch.com/table.php?distribution=nitix,,,,,,
µClinux,#4b78ff,,1998.1,,http://www.uclinux.org/,,,,,,,,,
Coyote,#282896,,1998.12,,http://coyotelinux.com/,,,,,,,,,
BrazilFW,#0076b1,,2005.10.5,,http://www.brazilfw.com.br/,,,,,,,,,
Zeroshell,#0000c0,,2006.6.25,,http://www.zeroshell.net/,,,,,,,,,
PLoP,#c0c0d8,,2007.12.26,,http://www.plop.at/,,,,,,,,,
Natures Linux,#0f0,,2004.3.30,2007.8.20,http://distrowatch.com/table.php?distribution=natures,,,,,,,,,
ELinOS,#0d3b69,,1999.3,,http://www.sysgo.com/products/elinos-embedded-linux/,,,,,,,,,
OpenEmbedded,#0bd,,2003.2,,http://www.openembedded.org,,,,,,,,,
Ångström,#9cc32a,OpenEmbedded,2007.12,,http://www.angstrom-distribution.org/,,,,,,,,,
KaeilOS,#FF0000,,2000.1,,http://www.kaeilos.com/,,INFO:,http://en.wikipedia.org/wiki/KaeilOS,,,,,,
Peanut,#4ac250,,1999.12,,http://www.alinux.tv/,aLinux,2005.3,http://www.alinux.tv/,,,,,,
CRUX,#4d699b,,2001.1,,http://crux.nu/,,,,,,,,,
Arch,#0771a6,,2002.3.11,,http://www.archlinux.org/,,,,,,,,,
AL-AMLUG,#77aacc,Arch,2003.7.4,2006.5.17,http://user-contributions.org/home/,Archie,2005.3.25,http://archie.dotsrc.org/,,,,,,
Chaox,#000,Arch,2008.12,2010.2.18,http://blag.chaox.net/,,,,,,,,,
Chakra,#46494D,Arch,2008.12.21,,http://chakra-project.org/,,,,,,,,,
LinHES,#92bac4,Arch,2009.1.28,,http://linhes.org/,,,,,,,,,
FireFly,#ee2299,Arch,2009.6.2,2010,http://distrowatch.com/table.php?distribution=firefly,,,,,,,,,
KahelOS,#e74a47,Arch,2009.7,,http://www.kahelos.org/,,,,,,,,,
CTKarchLive,#000,Arch,2009.7.5,,http://calimeroteknik.free.fr/ctkarchlive/index-en.html,CTKArch,2011.4.7,http://ctkarch.org/,,,,,,
Arch Linux ARM,#0771a6,Arch,2009.8.9,,http://archlinuxarm.org/,,,,,,,,,
ArchBang,#0077bb,Arch,2010.1.26,,http://archbang.org/,,,,,,,,,
Arch Hurd,#00adef,Arch,2010.6.5,,http://www.archhurd.org/,,,,,,,,,
Parabola,#000,Arch,2010.11,,http://parabolagnulinux.org/,,,,,,,,,
LDR,#800080,Arch,2011.4.13,,http://web.archive.org/web/20110717211908/http://www.tommed.co.uk/ldr/,,,,,,,,,
Manjaro,#3fbb3f,Arch,2011.7.9,,http://manjarolinux.org/,,,,,,,,,
Bridge,#333333,Arch,2012.1.30,,http://millertechnologies.net/,,,,,,,,,
Nosonja,#336699,Arch,2012.3.1,,http://nosonja.org/,,,,,,,,,
Cinnarch,,Arch,2012.7.19,,http://sourceforge.net/projects/cinnarch/,,,,,,,,,
Specifix,#332c55,,2004.7.14,,http://www.specifix.com/,rPath,2005.6.2,http://www.rpath.com/corp/,,,,,,
Foresight,#a3a3a3,Specifix,2005.3,,http://www.foresightlinux.org/,,,,,,,,,
Oz,#5da0c6,Specifix,2007,2008,http://ubuntuforums.org/showthread.php?t=398478,,,,,,,,,
Openfiler,#5f86ac,,2004.5,,http://www.openfiler.com/,,,,,,,,,
Everest,#005896,,2006.6.5,,www.linux-ren.org,Qomo,2009.5,www.linux-ren.org,,,,,,
mkLinux,#35332d,,1996.5.17,2002.8.11,http://www.mklinux.org/,,,,,,,,,
LST,#4e8969,,1993.12,1997.3.23,http://www.dsj.net/compedge/caldera.html,,,,,,,,,
DLD,#9e9e9e,,1993,1999.12,http://de.wikipedia.org/wiki/Deutsche_Linux-Distribution,,,,,,,,,
Linux-FT,#ff0031,,1995.1,1996.10,http://www.ukuug.org/newsletter/linux-newsletter/linux@uk12/ftinfo.shtml,,,,,,,,,
Unifix,#334466,,1995.6,2001,http://www.unifix.de/index.html,,,,,,,,,
United Linux,#040404,,2002.11.19,2004.1.22,http://en.wikipedia.org/wiki/United_Linux,,,,,,,,,
Red Hat,#cc0000,,1994.11.3,,http://www.redhat.com/,Red Hat Enterprise,2002.3.26,http://www.redhat.com/,,,,,,
WGS Linux Pro,#ff5f00,Red Hat,1995,1997,http://www.workgroupsolutions.com/,,,,,,,,,
Caldera,#5ea3db,Red Hat,1996.2,2002.11.19,http://en.wikipedia.org/wiki/Caldera_OpenLinux,SCO,2002.8.26,http://www.sco.com/,,,,,,
Redmond,#33812b,Caldera,2001.12.8,2005.6.15,http://freshmeat.net/projects/redmondlinux/,Lycoris,2002.1,http://en.wikipedia.org/wiki/Lycoris_%28company%29,,,,,,
LinuxPPC,#4cc931,Red Hat,1997.4,2001,http://lists.ozlabs.org/listinfo/linuxppc-dev,,,,,,,,,
UltraPenguin,#000,Red Hat,1997.7,1998.12,http://ultra.linux.cz/,,,,,,,,,
Conectiva,#4c3065,Red Hat,1997.10,2005.1.24,http://www.mandriva.com.br/,,,,,,,,,
Buhawi,#99ccff,Red Hat,1997.12.21,2004.9.18,http://bluepoint.com.ph/buhawi/,,,,,,,,,
PLD,#3f89d0,Red Hat,1998,,http://www.pld-linux.org/,,,,,,,,,
Turbolinux,#8c99ce,Red Hat,1998.6,,http://www.turbolinux.com/,,,,,,,,,
Mandrake,#3f48c9,Red Hat,1998.7.23,,http://www.mandriva.com/,Mandriva,2005.4.8,http://www.mandriva.com/,,,,,,
Demolinux,#3333ff,Mandrake,1998.9,2002.7,http://www.demolinux.org/,,,,,,,,,
Virtual,#8c8f96,Mandrake,2001.9.16,2002.5.3,http://sourceforge.net/projects/virtual-linux/,,,,,,,,,
ALT,#ebe04a,Mandrake,2001.3.25,,http://www.altlinux.com/,,,,,,,,,
PCLinuxOS,#78ca75,Mandrake,2003.10,,http://pclinuxos.com/,,,,,,,,,
TinyMe,#0000ff,PCLinuxOS,2006.11,,http://tinymelinux.com/,,,,,,,,,
Granular,#ff0032,PCLinuxOS,2006.12.30,,http://www.granularlinux.com/,,,,,,,,,
Garuda,#b21200,PCLinuxOS,2011.4.13,,http://www.garudaone.com/,,,,,,,,,
Phinx,#004b68,PCLinuxOS,2011.8,,http://cozmodesigns.co.uk/phinx/,,,,,,,,,
SAM,#007800,Mandrake,2003.10,,http://www.sam-linux.org/,SAMity,2010.6.30,www.samity.org,,,,,,
blackPanther,#000,Mandrake,2003.12,,http://www.blackpanther.hu/,,,,,,,,,
OpenSLS,#a6a5c5,Mandrake,2003.12.22,2007.12.30,http://annvix.org/,Annvix,2004.8.26,http://annvix.org/,,,,,,
Unity,#77EE00,Mandrake,2009.12.10,,http://unity-linux.org/,,,,,,,,,
ChameleonOS,#489F3E,Unity,2010.07.12,,http://chameleonos.wordpress.com/,,,,,,,,,
Mageia,#3f48c9,Mandrake,2010.9.18,,http://mageia.org/,,,,,,,,,
ROSA,#105289,Mandrake,2011.3.25,,http://www.rosalab.ru/,,,,,,,,,
Eurielec,#040404,Red Hat,1998,2001.5.13,http://www.eurielec.etsit.upm.es/linux/,,,,,,,,,
Fermi,#00309e,Red Hat,1998.8.31,,http://fermilinux.fnal.gov/,,,,,,,,,
KRUD,#00adfb,Red Hat,1999,2005,http://www.tummy.com/Products/krud/,,,,,,,,,
e-smith,#d38b8e,Red Hat,1999.1,,http://wiki.contribs.org/Main_Page,SME Server,2001.8,http://www.smeserver.org/,,,,,,
Eridani,#2625a4,Red Hat,1999.3,2003.8.5,http://www.eridani.co.uk/linux.shtml,,,,,,,,,
Yellow Dog,#baba4c,Red Hat,1999.3.8,,http://www.yellowdoglinux.com/,,,,,,,,,
Vine,#323296,Red Hat,1999.3.28,,http://www.vinelinux.org/,,,,,,,,,
Red Flag,#e34043,Red Hat,1999.8,,http://www.redflag-linux.com/,,,,,,,,,
Armed,#d73ce2,Red Hat,1999.9.5,2002,http://lwn.net/1999/0916/a/armed.html,,,,,,,,,
Immunix,#bbd295,Red Hat,1999.10,2003.11.27,http://en.wikipedia.org/wiki/Immunix,,,,,,,,,
Kondara,#5d0202,Red Hat,1999.11.11,2002.7.15,http://distrowatch.com/table.php?distribution=kondara,,,,,,,,,
Linpus,#afafaf,Red Hat,2000.1.28,,http://www.linpus.com/,,,,,,,,,
ELX,#44b6fd,Red Hat,2000.2,2006,http://distrowatch.com/table.php?distribution=elx,,,,,,,,,
Trustix,#c4c4c4,Red Hat,2000.3,2007.3.6,http://en.wikipedia.org/wiki/Trustix,,,,,,,,,
Finnix,#000,Red Hat,2000.3.22,,http://www.finnix.org/,,,,,,,,,
BU,#e30000,Red Hat,2000.5,,http://linux.bu.edu/,,,,,,,,,
Miracle,#e34043,Red Hat,2000.8,,http://www.miraclelinux.com/,,,,,,,,,
Asianux,#000,Miracle,2004.6,,http://www.asianux.com/,,,,,,,,,
Happy,#7ecce0,Red Hat,2000.9,2002.5,http://distrowatch.com/table.php?distribution=happy,,,,,,,,,
Pingo,#203e7f,Red Hat,2000.10.1,2007.1.1,http://www.pingo.org/,,,,,,,,,
Best,#000,Red Hat,2000.10.24,2004.12.24,http://distrowatch.com/table.php?distribution=sot,SOT,2002.4.24,http://distrowatch.com/table.php?distribution=sot,LBA,2004.4.16,http://distrowatch.com/table.php?distribution=sot,,,
Rocks,#1e2e41,Red Hat,2000.11,,http://www.rocksclusters.org/,,,,,,,,,
ClarkConnect,#608921,Red Hat,2000.11,,http://www.clarkconnect.com/,ClearOS,2009.10.5,http://www.clearfoundation.com/,,,,,,
